[INFO] Calibrating Motors...
[INFO] Calibrated
yaw, 0.3, pitch, 0.2, roll, -0.1, Hz, 99.8, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1001, m2_comm, 998, m3_comm, 994, m4_comm, 1004

yaw, 0.3, pitch, 0.2, roll, -0.1, Hz, 99.9, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1002

yaw, 0.3, pitch, 0.2, roll, -0.1, Hz, 105.0, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1002

yaw, 0.3, pitch, 0.2, roll, -0.1, Hz, 99.4, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1001, m2_comm, 998, m3_comm, 994, m4_comm, 1005

yaw, 0.4, pitch, 0.2, roll, -0.1, Hz, 99.5, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1001

yaw, 0.4, pitch, 0.2, roll, -0.2, Hz, 99.3, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1001, m2_comm, 998, m3_comm, 996, m4_comm, 1002

yaw, 0.4, pitch, 0.2, roll, -0.2, Hz, 99.4, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 996, m4_comm, 1002

yaw, 0.4, pitch, 0.2, roll, -0.2, Hz, 99.5, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 994, m4_comm, 1004

yaw, 0.4, pitch, 0.2, roll, -0.2, Hz, 99.3, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1001, m2_comm, 998, m3_comm, 996, m4_comm, 1002

yaw, 0.4, pitch, 0.2, roll, -0.2, Hz, 99.4, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1000, m2_comm, 999, m3_comm, 994, m4_comm, 1004

yaw, 0.4, pitch, 0.2, roll, -0.2, Hz, 99.5, roll_des, -0.1, pitch_des, 0.1, thro_des, 0.0, yaw_des, -0.3, CH1, 1499, CH2, 1499, CH3, 1000, CH4, 1499, CH5, 1000, CH6, 1000, CH7, 1000, CH8, 1000,  m1_comm, 1001, m2_comm, 998, m3_comm, 996, m4_comm, 1002

